id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-04-27T16:04:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-04-27T03:56:58;75071;94375
2;program Unbranded;2020-04-27T16:13:16;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-04-27T08:37:47;8068;31806
3;Indian Rupee Ngultrum;2020-04-27T18:11:27;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-04-27T15:37:48;92121;74564
4;transmitting EXE parse;2020-04-27T14:35:17;open architecture;PAID;PAYPAL;2020-04-27T21:39:21;99574;33894
5;attitude-oriented;2020-04-27T09:06:14;Integration structure;CANCELLED;PAYPAL;2020-04-27T11:13:44;72584;98923
6;SDD auxiliary Utah;2020-04-27T12:10:42;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-04-27T03:32:53;7073;6807
7;Customer;2020-04-27T22:37:46;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-04-27T02:54:18;32780;10756
8;Arizona Awesome Fresh Soap system;2020-04-27T08:51:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-04-27T08:40:30;50263;19746
9;applications Generic;2020-04-27T07:06:13;Assurance;ISSUED;CASH_ON_DELIVERY;2020-04-27T21:43:52;36970;88317
10;functionalities bifurcated;2020-04-27T16:51:37;Investment Account;PAID;CREDIT_CARD;2020-04-27T16:51:37;94911;93817
