id;placed_date;status;code;customer_id
1;2020-04-27T14:49:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-04-27T01:46:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-04-27T03:17:32;PENDING;Concrete;3
4;2020-04-27T16:43:27;CANCELLED;Investment Account;4
5;2020-04-27T04:00:17;PENDING;United States of America;5
6;2020-04-27T18:12:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-04-27T21:18:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-04-27T06:14:50;COMPLETED;Home Loan Account;8
9;2020-04-27T15:09:06;COMPLETED;Human;9
10;2020-04-27T01:17:44;CANCELLED;payment;10
